GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.db_delete_task,info.smart_tools.smartactors.core.db_task.delete,DBDeleteTask,7,19,0,2,2,6,0,3,0,2
core.db_delete_task,info.smart_tools.smartactors.core.db_task.delete.psql,PSQLDeleteTask,101,104,7,5,20,25,6,9,2,7
