GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.postgres_connection,info.smart_tools.smartactors.core.postgres_connection,JDBCCompiledQuery,9,0,0,0,4,0,2,0,2,0
core.postgres_connection,info.smart_tools.smartactors.core.postgres_connection,QueryStatement,49,0,2,0,13,0,5,0,4,0
core.postgres_connection,info.smart_tools.smartactors.core.postgres_connection,PostgresConnection,153,0,2,0,56,0,7,0,6,0
