GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,FilesystemTracker,12,198,0,14,3,53,1,15,1,8
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,ListenerTask,42,181,8,16,3,34,9,7,1,3
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,FilesystemTracker.FileCreationHandler,5,44,0,4,0,10,0,4,0,2
