GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.iioccontainer,info.smart_tools.smartactors.core.iioccontainer.exception,DeletionException,0,13,0,0,0,6,0,3,0,3
core.iioccontainer,info.smart_tools.smartactors.core.iioccontainer.exception,ResolutionException,0,76,0,2,0,19,0,5,0,4
core.iioccontainer,info.smart_tools.smartactors.core.iioccontainer.exception,RegistrationException,0,13,0,0,0,6,0,3,0,3
