GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,FilesystemTracker,6,187,0,14,1,52,0,15,0,8
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,ListenerTask,15,125,4,12,0,27,4,7,0,3
core.filesystem_tracker,info.smart_tools.smartactors.core.filesystem_tracker,FilesystemTracker.FileCreationHandler,5,47,0,4,0,10,0,4,0,2
