GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.message_processing,info.smart_tools.smartactors.core.message_processing.exceptions,NestedChainStackOverflowException,0,16,0,0,0,6,0,3,0,3
core.message_processing,info.smart_tools.smartactors.core.message_processing.exceptions,NoExceptionHandleChainException,0,17,0,0,0,6,0,3,0,3
core.message_processing,info.smart_tools.smartactors.core.message_processing.exceptions,AsynchronousOperationException,9,0,0,0,4,0,2,0,2,0
core.message_processing,info.smart_tools.smartactors.core.message_processing.exceptions,MessageReceiveException,3,13,0,0,2,6,1,3,1,3
