GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,MapsSectionProcessingStrategy,0,101,0,2,0,18,0,4,0,3
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,ObjectsSectionProcessingStrategy,0,100,0,2,0,19,0,4,0,3
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,EndpointsSectionProcessingStrategy,27,261,0,2,9,32,1,3,1,2
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,ExecutorSectionProcessingStrategy,177,0,0,0,24,0,3,0,3,0
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,MessageBusSectionProcessingStrategy,24,132,0,0,7,20,1,2,1,2
core.standard_config_sections,info.smart_tools.smartactors.core.standard_config_sections,StandardConfigSectionsPlugin,228,0,0,0,84,0,7,0,7,0
