GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
plugin.standard_object_creators,info.smart_tools.smartactors.plugin.standard_object_creators,RawObjectCreator,0,94,0,6,0,17,0,5,0,2
plugin.standard_object_creators,info.smart_tools.smartactors.plugin.standard_object_creators,PluginStandardObjectCreators,78,0,0,0,24,0,3,0,3,0
