GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.cached_collection,info.smart_tools.smartactors.core.cached_collection,CachedCollection,604,0,40,0,95,0,25,0,5,0
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.exception,DeleteCacheItemException,4,5,0,0,2,2,1,1,1,1
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.exception,CreateCachedCollectionTaskException,5,0,0,0,2,0,1,0,1,0
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.exception,UpsertCacheItemException,11,5,0,0,6,2,3,1,3,1
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.exception,GetCacheItemException,11,5,0,0,6,2,3,1,3,1
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.task,GetItemFromCachedCollectionTask,14,201,0,0,4,29,0,4,0,4
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.task,UpsertIntoCachedCollectionTask,11,98,1,1,4,18,2,3,1,3
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.task,CreateCachedCollectionTask,7,77,0,0,2,18,0,3,0,3
core.cached_collection,info.smart_tools.smartactors.core.cached_collection.task,DeleteFromCachedCollectionTask,11,88,0,0,4,16,1,2,1,2
