GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.configuration_object,info.smart_tools.smartactors.core.configuration_object,ObjectDeserializer,6,24,0,2,2,6,0,3,0,2
core.configuration_object,info.smart_tools.smartactors.core.configuration_object,ObjectDeserializer.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
core.configuration_object,info.smart_tools.smartactors.core.configuration_object,ConfigurationObject,10,133,2,4,2,33,2,10,0,9
core.configuration_object,info.smart_tools.smartactors.core.configuration_object,ConfigurationObject.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
