GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.utils.sql,GeneralSQLOrderWriter,31,110,1,5,6,26,1,6,0,4
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.utils.sql,GeneralSQLPagingWriter,49,18,6,0,9,6,4,3,1,3
core.db_search_task,info.smart_tools.smartactors.core.db_task.search,DBSearchTask,29,61,0,2,8,14,0,3,0,2
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.psql,ConditionsWriterResolver,3,9,0,0,1,4,1,2,1,2
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.psql,PSQLFieldPath,23,47,1,3,4,9,2,4,1,3
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.psql,Operators,202,73,22,0,46,15,18,2,7,2
core.db_search_task,info.smart_tools.smartactors.core.db_task.search.psql,PSQLSearchTask,68,145,0,0,14,38,1,8,1,8
