GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core.in_memory_database,info.smart_tools.smartactors.core.in_memory_database,InMemoryDatabaseIOCInitializer,193,1307,20,72,63,270,19,71,5,39
core.in_memory_database,info.smart_tools.smartactors.core.in_memory_database,SimpleFullTextMatcher,2,65,1,7,1,13,1,5,0,2
core.in_memory_database,info.smart_tools.smartactors.core.in_memory_database,InMemoryDatabase,125,457,6,26,31,79,6,24,0,14
core.in_memory_database,info.smart_tools.smartactors.core.in_memory_database,DataBaseItem,0,54,0,0,0,12,0,5,0,5
